date,platform,country,networks,market_volume
2021-12-02,iOS,US,other,1352852.0909667197
2021-12-02,iOS,US,Amazon,2957204.6
2021-12-02,iOS,US,Chartboost,467893.32898678415
2021-12-02,iOS,US,AdMob,2229200.840117457
2021-12-02,iOS,US,Facebook,3630037.4187000003
2021-12-02,iOS,US,Unity,1896612.7307803587
2021-12-02,iOS,US,IronSource,1465804.1026685394
2021-12-01,iOS,UK,AppLovin,242879.37949748748
2021-12-01,iOS,UK,IronSource,200075.19042073173
2021-12-01,iOS,UK,AdMob,678136.1771399999
2021-12-01,iOS,UK,other,248514.53613733905
2021-12-01,iOS,UK,Unity,232875.83366153846
2021-12-01,iOS,UK,Chartboost,136906.18425
2021-12-04,Android,US,Unity,2099276.4502857137
2021-12-04,Android,US,IronSource,1141401.201648924
2021-12-04,Android,US,Chartboost,839467.5845052631
2021-12-04,Android,US,Facebook,3867992.0410774564
2021-12-04,Android,US,AppLovin,2154024.43875467
2021-12-04,Android,US,AdMob,3921109.5097
2021-12-04,Android,US,other,1477745.8773559325
2021-12-04,Android,US,Amazon,2968299.2246533125
2021-12-04,iOS,UK,IronSource,489691.5079470199
2021-12-04,iOS,UK,Chartboost,223375.33944
2021-12-04,iOS,UK,Unity,617355.3771692307
2021-12-04,iOS,UK,other,409351.0701789473
2021-12-04,iOS,UK,AppLovin,324366.8111583012
2021-12-04,iOS,UK,AdMob,632981.8504914893
2021-11-30,Android,AR,IronSource,406461.0196825397
2021-11-30,Android,AR,Chartboost,163885.6592424242
2021-11-30,Android,AR,Facebook,954113.232807309
2021-11-30,Android,AR,Amazon,627808.2828282829
2021-11-30,Android,AR,Unity,541323.342745631
2021-11-30,Android,AR,AdMob,1239719.7253956043
2021-11-30,Android,AR,other,538600.5777670885
2021-11-30,Android,AR,AppLovin,459369.06985645945
2021-12-02,Android,US,Facebook,2107311.9547603633
2021-12-02,Android,US,Amazon,1707872.2093990385
2021-12-02,Android,US,AdMob,3279584.6155892117
2021-12-02,Android,US,Unity,1002648.6510696928
2021-12-02,Android,US,IronSource,824214.6279373219
2021-12-02,Android,US,Chartboost,650897.1405999999
2021-12-02,Android,US,other,835679.5497108778
2021-12-02,Android,US,AppLovin,1369059.0980281688
2021-12-02,Android,UK,Facebook,404968.92414857144
2021-12-02,Android,UK,other,187794.7092
2021-12-02,Android,UK,Unity,266524.70399999997
2021-12-02,Android,UK,AdMob,550245.1929545455
2021-12-02,Android,UK,IronSource,274834.54173913045
2021-12-02,Android,UK,AppLovin,250952.76330275228
2021-12-02,Android,UK,Chartboost,68033.93759999999
2021-12-01,iOS,US,Facebook,2734259.17237864
2021-12-01,iOS,US,other,1429536.2999255767
2021-12-01,iOS,US,Amazon,1399720.9909090907
2021-12-01,iOS,US,AdMob,2923724.3931578947
2021-12-01,iOS,US,Unity,1214151.4607156191
2021-12-01,iOS,US,IronSource,1409367.2240713325
2021-12-01,iOS,US,AppLovin,1428476.4946361266
2021-12-01,iOS,US,Chartboost,451562.73015075375
2021-12-01,iOS,AR,Chartboost,8188.290000000001
2021-12-01,iOS,AR,other,12690.683076923076
2021-12-01,iOS,AR,IronSource,38236.833
2021-12-01,iOS,AR,AppLovin,12809.231392405061
2021-11-30,iOS,UK,Unity,176762.62878596492
2021-11-30,iOS,UK,AdMob,975047.6897636362
2021-11-30,iOS,UK,other,214308.85610066223
2021-11-30,iOS,UK,Chartboost,107483.9997
2021-11-30,iOS,UK,AppLovin,157444.095
